"global_id";"ObjectName";"NameWinter";"AdmArea";"District";"Address";"Email";"WebSite";"HelpPhone";"HelpPhoneExtension";"WorkingHoursWinter";"ClarificationOfWorkingHoursWinter";"HasEquipmentRental";"EquipmentRentalComments";"HasTechService";"TechServiceComments";"HasDressingRoom";"HasEatery";"HasToilet";"HasWifi";"HasCashMachine";"HasFirstAidPost";"HasMusic";"UsagePeriodWinter";"DimensionsWinter";"Lighting";"SurfaceTypeWinter";"Seats";"Paid";"PaidComments";"DisabilityFriendly";"ServicesWinter";"geoData";"geodata_center";
"global_id";"Название спортивного объекта";"Название спортивной зоны в зимний период";"Административный округ";"Район";"Адрес";"Адрес электронной почты";"Адрес сайта";"Справочный телефон";"Добавочный номер";"График работы в зимний период";"Уточнение графика работы в зимний период";"Возможность проката оборудования";"Комментарии для проката оборудования";"Наличие сервиса технического обслуживания";"Комментарии для сервиса технического обслуживания";"Наличие раздевалки";"Наличие точки питания";"Наличие туалета";"Наличие точки Wi-Fi";"Наличие банкомата";"Наличие медпункта";"Наличие звукового сопровождения";"Период эксплуатации в зимний период";"Размеры в зимний период";"Освещение";"Покрытие в зимний период";"Количество оборудованных посадочных мест";"Форма посещения (платность)";"Комментарии к стоимости посещения";"Приспособленность для занятий инвалидов";"Услуги предоставляемые в зимний период";"geoData";"geodata_center";
"2721622002";"Спортивный комплекс «Есенинский»";"Городок тренажерный универсальный";"Юго-Восточный административный округ";"район Кузьминки";"Есенинский бульвар, дом 9, корпус 2";"vostok@mossport.ru";"vostok.mossport.ru";"(499) 175-54-12";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.09-31.08";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.780786322, 55.701285948], type=Point}";"{coordinates=[37.780786322, 55.701285948], type=Point}";
"2721622003";"Спортивный комплекс «Есенинский»";"Городок тренажерный универсальный (воркаут нового типа) №1";"Юго-Восточный административный округ";"район Кузьминки";"Есенинский бульвар, дом 9, корпус 2";"vostok@mossport.ru";"vostok.mossport.ru";"(499) 175-54-12";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.09-31.08";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.780653272, 55.701188994], type=Point}";"{coordinates=[37.780653272, 55.701188994], type=Point}";
"2721622175";"Спортивный комплекс «Есенинский»";"Городок тренажерный универсальный (воркаут нового типа) №2";"Юго-Восточный административный округ";"район Кузьминки";"Есенинский бульвар, дом 9, корпус 2";"vostok@mossport.ru";"vostok.mossport.ru";"(499) 175-54-12";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.09-31.08";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.780803413, 55.701194282], type=Point}";"{coordinates=[37.780803413, 55.701194282], type=Point}";
"2721622891";"Спортивный комплекс «Савёлки»";"Городок тренажерный универсальный";"Зеленоградский административный округ";"район Савёлки";"город Зеленоград, Озёрная аллея, дом 2";"zelenograd@mossport.ru";"zelenograd.mossport.ru";"(499) 734-23-02";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"да";"нет";"нет";"да";"01.09-31.08";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"платно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.224388177, 55.987177824], type=Point}";"{coordinates=[37.224388177, 55.987177824], type=Point}";
"2721623059";"Дворец борьбы им. Ивана Ярыгина";"Городок тренажерный универсальный";"Юго-Восточный административный округ";"район Лефортово";"Авиамоторная улица, дом 40";"vostok@mossport.ru";"vostok.mossport.ru";"(495) 673-30-64";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"да";"нет";"да";"да";"01.01-31.12";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.719432884, 55.741727563], type=Point}";"{coordinates=[37.719432884, 55.741727563], type=Point}";
"2721623658";"Колледж физической культуры и спорта «Спарта»";"Городок тренажерный универсальный (воркаут нового типа)";"Западный административный округ";"район Кунцево";"улица Маршала Тимошенко, дом 36, корпус 2";"sparta@mossport.ru";"sparta.mossport.ru";"(499) 141-90-22";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"да";"нет";"да";"да";"01.09-31.08";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.401344767, 55.747398727], type=Point}";"{coordinates=[37.401344767, 55.747398727], type=Point}";
"2721623688";"Дворовая территория";"Городок тренажерный универсальный №2";"Юго-Западный административный округ";"Ломоносовский район";"улица Вавилова, дом 91, корпус 2";"Lomonos@uzao.mos.ru";"lomonosovsky.mos.ru";"(499) 783-84-23";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.547581112, 55.678155436], type=Point}";"{coordinates=[37.547581112, 55.678155436], type=Point}";
"2721623693";"Дворовая территория";"Городок тренажерный (воркаут) нового типа";"Юго-Западный административный округ";"Ломоносовский район";"улица Крупской, дом 11";"uzao-lomonos@mos.ru";"lomonosovsky.mos.ru";"(499) 783-84-23";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"смешанное освещение";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.526751068, 55.682957073], type=Point}";"{coordinates=[37.526751068, 55.682957073], type=Point}";
"2721623698";"Дворовая территория";"Городок тренажерный (воркаут) нового типа";"Юго-Западный административный округ";"Ломоносовский район";"улица Марии Ульяновой, дом 11";"uzao-lomonos@mos.ru";"lomonosovsky.mos.ru";"(499) 133-14-67";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"освещение светодиодными лампами";"специальное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.524602, 55.680271], type=Point}";"{coordinates=[37.524602, 55.680271], type=Point}";
